path,artifact_family,period_coverage,size_bytes,sha256,row_count,column_count,schema_hash_header_sha256,producer,commit_evidence,status,availability,inspection_note
artifacts/models/clf1_2025_ARG,staged_model,2025,3722828,b7c7db1984604bf3623a5a1e678e92550ae97cb0d0b721623ae44d1a4760047b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2003_ARG,staged_model,2003,14942523,9d38b67bd77b77e79c5312889c126b0bc731591496d746009795f6cbf72bd526,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2004_ARG,staged_model,2004,22527656,37453461ddcc5856e5f3e7ab1c07e78428bfe5361b5a831a10252350970d588d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2005_ARG,staged_model,2005,21739612,b6f276660349376e97c32cb54f17f570749a1dd34dfa78d8bff2518219a41c49,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2006_ARG,staged_model,2006,24500602,cf0a76688dd0362f7d45f9cbe12eedce9b4141982ad15b75e411fee412245b6c,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2007_ARG,staged_model,2007,22199799,2d33fb1de83506a63fa8aad0615e512a82f3a86b835f5e772cc07e957daf85db,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2008_ARG,staged_model,2008,24855170,61306603821eaf4f67ae1123b80bc475f046283252e8924c89fc77d7816ac938,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2009_ARG,staged_model,2009,24687483,b1143e278090f34a609c0ea8c761cd16ebc5b91389a77311b2f98be946c057a6,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2010_ARG,staged_model,2010,24947397,f9af44396c148ccf95f35ac00e2d9d7d578908b0ae0946183b26aa9c4cd0730c,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2011_ARG,staged_model,2011,24375207,326dee052b2b6cc732d001db0ee57d8a9a40a59ebd2b287aefcad503c2b9776b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2012_ARG,staged_model,2012,23064821,a93cbae93d1f190d8be67863055970f33a764b903f02bc96717ef376d42e03d0,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2013_ARG,staged_model,2013,22100402,5b080ed1f65a72bf5bc7f8be02ebd02b2ce36529a29ce8666b8d8178b92dac45,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2014_ARG,staged_model,2014,24537610,8ddf475d7ed657a4a1b443edb75d5dafa16433e879805cfad711342063752086,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2015_ARG,staged_model,2015,17902127,311762b5d0d8b896f12473422bc56885748dc00b1887d86a448b422554fadcd7,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2016_ARG,staged_model,2016,20527916,1857564377beb318a52f7b1a561b0b546d3fb2be55c4b0f5ea0178265a03c475,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2017_ARG,staged_model,2017,24468558,e3ececc91e273a8c6a6255af8ea41dc136aa0583fe5422da3ba12409b3212bf5,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2018_ARG,staged_model,2018,24149311,a71040a9576c7b4184d0e090b5d36ccbb70dbc6fbad80ba652ad4b1008cfdfb9,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2019_ARG,staged_model,2019,25059201,5ba94890f3ecd247a9c637fe8bd1255c5d9763752e41ee6ef169b5a67c5025f4,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2020_ARG,staged_model,2020,23930757,f8661cb7816810cb6a3a3bd2313336a739af67e4fb39c235c4d583b6a2225fa0,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2021_ARG,staged_model,2021,22020918,8364c99e77772559cd46252dcd704b84ead6103889cea89aba25068399692048,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2022_ARG,staged_model,2022,3756611,b5a4931857dde861f75837c52e9c529d2f5b2d82ba7c20230f3889e5fcaaca3e,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2023_ARG,staged_model,2023,4047678,6cdbf79137729bba3d490b2ce0814c80ac6285960cf1e76971cf26ae57721956,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2024_ARG,staged_model,2024,4312678,8432cf7ed2c4fe12edb6a87e109b72ea0854579816c876f023952016e6bae051,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2025_ARG,staged_model,2025,3038141,1a200e53c40bdc442bbd067bff759df221e333c454fcf2977fbbc2ec74315a34,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2003_ARG,staged_model,2003,11732404,d3461942062d466536a4cd41441bec6282a0c41ea584fcc732ad7a17ef05d712,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2004_ARG,staged_model,2004,15662267,8b8054aaa0fa1cb1535393dbaddfa808238f9ce3ebb3c4b0334eec09b70f4000,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2005_ARG,staged_model,2005,14793698,643a190cb675fb6062401689a767e555f05dc23c47bfeb73b9f23919c6277a27,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2006_ARG,staged_model,2006,15982959,a5060520212208b32e6f1f5688284bff0916d2f5a70577c17128a6f978f3d072,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2007_ARG,staged_model,2007,14829953,a05466205f7d4b803da5e9836dcdfbbb0d15752d0b1793887e24b605b3553223,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2008_ARG,staged_model,2008,16350899,0e4e3da5a071c79bdb7b97a24d6f7e4a6b6d2aa1990f8582c16b4adb730316db,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2009_ARG,staged_model,2009,15628090,fdcbb0bc0a83f5300c93431e5d8f38125fb3e7144a1576117a044e4e1f9083f8,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2010_ARG,staged_model,2010,15904211,20441e06e29aeeea7d3dcd9a563ceaa2b6406a41352d1dfff2f65dd8210bfa75,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2011_ARG,staged_model,2011,15205648,c604275ca53fb1d82a80fe512d121b00e1ed461365772ca32d4ab66c62517482,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2012_ARG,staged_model,2012,15388157,dd1bb2ee52f3d4414ed9319cb60dbfae266d8316432b26503db09b19cee880ff,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2013_ARG,staged_model,2013,15259299,fb70a0ccee3daa4164129fabf52dc61d1520213622496fe47a4222415b5318ea,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2014_ARG,staged_model,2014,15473225,6170c42add6d44d6e4324f936959d8ef8710048b39d09bf02df2adcedf0bcd08,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2015_ARG,staged_model,2015,12069158,91e80f67ca56157c614de89a751bac8a3d43b8c4247940994569fa05f4ee1039,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2015_ARG_bkp,staged_model,2015,11753051,2437dfb9b4c006c00a0393a549847fe1a5fc094111894e178222f1daba7da0c0,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2016_ARG,staged_model,2016,13021721,41a75700b196f180c6839139fb96879f2e23c748840846ea4d6ee5bab0423bcd,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2017_ARG,staged_model,2017,14827348,ffa5cd2de3de0bb05b4496d3aff5e1f16e369eadd313317bc8fb64118288d54b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2018_ARG,staged_model,2018,14790179,cbad58c01c074b0bbb960787a1d9551e24223d8ee3c6866dce340ce31748e89d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2019_ARG,staged_model,2019,14842663,9beba905d75c90a4a5e6a08012a5d141bd2565b50f16ac9d6215b2cfffb5b2ed,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2020_ARG,staged_model,2020,13910970,d690c2c77f9d030ed3a920c7c407731ad208afe01b2ec6e1e806e4178a2220e3,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2021_ARG,staged_model,2021,14405017,7ad93f001766ddda9604107ef5d591337828a87d945991ce5a0892ca59754ed5,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2022_ARG,staged_model,2022,2188547,26d119860777abaa3f170f00d3aed90adaa198efee0d9c1b878126160e07ef6b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2023_ARG,staged_model,2023,2366094,563e98be0da5881c95dcbb0ceaee0cc5df5c454ad63c14ec5867ca5ad916c60a,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2024_ARG,staged_model,2024,2502275,0fa3ea4c5edf9709712c1acf3d52baa19bad5296b5011267cbefc0b41023e00d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf3_2025_ARG,staged_model,2025,1800653,baf9b9b92c64db93a4dbf8aa373c57b77a3361582ffbb80b65c1f16755c12c99,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2003-08-15_ARG,staged_model,2003,481624,4372046b0d5ffddf25ccf71c1b4b1109be7fe1633cdc8c6e4e9ad20248016e6b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2003-11-15_ARG,staged_model,2003,524368,71bb9d09e69beb452728d7acbc736715e9115c08c6d0816c5e07a6d83fb64127,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2004-02-15_ARG,staged_model,2004,522399,88d66c8ddd763a70da314526d4b85058828214abbfe03cddee721cc49736bb2c,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2004-05-15_ARG,staged_model,2004,527539,7cb9e0cd8191914b944781325db54757d288f41a49c9a660f1c0d7be7623e7dc,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2004-08-15_ARG,staged_model,2004,563577,65bc8aff3d8399750e44076ffd7bef2a18c85f7c2cd109926c27a67ccf1102cb,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2004-11-15_ARG,staged_model,2004,563957,0bf5fbd47e2e01fb578b3356e25d4c035398803397ce312323f807a98ed8f5a1,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2005-02-15_ARG,staged_model,2005,522142,7313f761652971983ece58c95ae9be7034e2fd17c0f8b722ddba51ec66d5a829,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2005-05-15_ARG,staged_model,2005,529742,f67c3cf18ab5e88166c55a75ec0282894a542c3f5c70e9bc6cecc1c6b7d8a2cd,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf4_2005-08-15_ARG,staged_model,2005,565689,a3c412c38d7d01c0b74c01aeab28000f2d197608c399feddc1ea2ff16148b7da,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
