P0910,P0910_label
02,N. A.
12,Inicial
20,Primaria
21,Primaria (fin.)
30,EGB
31,EGB (fin.)
40,Secundaria
41,Secundaria (fin.)
60,Terciario
61,Terciario (fin.)
70,Universitaria
71,Universitaria (fin.)
80,Postgrado
81,Postgrado (fin.)
92,Educ. Especial
