,index
1943-01-31,9.2847e-13
1943-02-28,9.2309e-13
1943-03-31,9.3765e-13
1943-04-30,9.4387e-13
1943-05-31,9.3567e-13
1943-06-30,9.3666e-13
1943-07-31,8.8379e-13
1943-08-31,8.929799999999999e-13
1943-09-30,8.847799999999999e-13
1943-10-31,8.939700000000001e-13
1943-11-30,8.939700000000001e-13
1943-12-31,8.9115e-13
1944-01-31,8.9737e-13
1944-02-29,8.992e-13
1944-03-31,9.05e-13
1944-04-30,8.948200000000001e-13
1944-05-31,8.9115e-13
1944-06-30,9.074e-13
1944-07-31,9.0655e-13
1944-08-31,9.194200000000001e-13
1944-09-30,9.1758e-13
1944-10-31,9.238e-13
1944-11-30,9.238e-13
1944-12-31,9.256399999999999e-13
1945-01-31,9.977299999999998e-13
1945-02-28,1.0168200000000001e-12
1945-03-31,1.0925899999999999e-12
1945-04-30,1.0935799999999999e-12
1945-05-31,1.09739e-12
1945-06-30,1.09796e-12
1945-07-31,1.1108200000000001e-12
1945-08-31,1.10079e-12
1945-09-30,1.10715e-12
1945-10-31,1.10799e-12
1945-11-30,1.1099700000000002e-12
1945-12-31,1.1344299999999998e-12
1946-01-31,1.2140200000000001e-12
1946-02-28,1.21585e-12
1946-03-31,1.2514799999999998e-12
1946-04-30,1.27311e-12
1946-05-31,1.26971e-12
1946-06-30,1.29134e-12
1946-07-31,1.2941700000000001e-12
1946-08-31,1.28512e-12
1946-09-30,1.28696e-12
1946-10-31,1.31877e-12
1946-11-30,1.3244200000000001e-12
1946-12-31,1.3470399999999999e-12
1947-01-31,1.33545e-12
1947-02-28,1.34449e-12
1947-03-31,1.42662e-12
1947-04-30,1.42747e-12
1947-05-31,1.42903e-12
1947-06-30,1.49575e-12
1947-07-31,1.47935e-12
1947-08-31,1.49292e-12
1947-09-30,1.49476e-12
1947-10-31,1.48656e-12
1947-11-30,1.50042e-12
1947-12-31,1.54791e-12
1948-01-31,1.52303e-12
1948-02-29,1.51865e-12
1948-03-31,1.54608e-12
1948-04-30,1.5551200000000001e-12
1948-05-31,1.59357e-12
1948-06-30,1.6390900000000002e-12
1948-07-31,1.6354200000000001e-12
1948-08-31,1.6690599999999998e-12
1948-09-30,1.73748e-12
1948-10-31,1.74285e-12
1948-11-30,1.74667e-12
1948-12-31,1.83968e-12
1949-01-31,1.84972e-12
1949-02-28,1.84506e-12
1949-03-31,1.97087e-12
1949-04-30,2.0667099999999998e-12
1949-05-31,2.12679e-12
1949-06-30,2.1516700000000003e-12
1949-07-31,2.19153e-12
1949-08-31,2.22899e-12
1949-09-30,2.2639099999999998e-12
