indice_tiempo,gran_buenos_aires,cuyo,noreste,noroeste,pampeana,patagonia
2016-04-01,1514.53,1358.29,1371.62,1333.91,1514.96,1556.96
2016-05-01,1561.35,1398.2,1404.27,1369.37,1562.75,1604.3
2016-06-01,1614.32,1445.22,1447.63,1413.77,1614.33,1661.42
2016-07-01,1666.48,1494.04,1496.21,1458.24,1660.19,1713.67
2016-08-01,1675.05,1496.09,1501.91,1459.38,1662.99,1723.86
2016-09-01,1711.22,1536.29,1540.68,1498.62,1705.31,1767.89
2016-10-01,1739.34,1559.0,1559.51,1516.82,1731.84,1797.44
2016-11-01,1762.65,1577.67,1573.18,1532.67,1753.27,1819.64
2016-12-01,1766.62,1574.22,1571.59,1526.86,1754.08,1822.96
2017-01-01,1789.15,1595.31,1590.44,1541.73,1777.09,1848.5
2017-02-01,1821.02,1628.44,1620.35,1570.68,1810.32,1882.42
2017-03-01,1876.56,1681.49,1672.78,1623.37,1863.58,1939.76
2017-04-01,1915.47,1713.91,1709.08,1661.21,1901.16,1975.67
2017-05-01,1937.24,1731.7,1729.4,1681.95,1922.0,1994.94
2017-06-01,1956.42,1747.95,1743.77,1698.68,1940.78,2012.13
2017-07-01,1984.64,1767.82,1761.4,1718.31,1965.17,2034.9
2017-08-01,2021.98,1805.99,1796.81,1756.04,2007.97,2074.38
2017-09-01,2049.39,1830.78,1821.54,1783.48,2037.82,2101.72
2017-10-01,2079.23,1860.27,1851.72,1812.72,2071.1,2137.17
2017-11-01,2125.84,1900.71,1895.81,1852.43,2117.11,2192.85
2017-12-01,2150.29,1920.79,1917.87,1870.58,2141.51,2221.58
2018-01-01,2197.26,1966.81,1960.18,1915.2,2192.22,2271.63
2018-02-01,2261.23,2022.41,2018.25,1969.14,2251.12,2343.56
2018-03-01,2294.56,2048.42,2047.14,1996.75,2277.22,2367.1
2018-04-01,2308.11,2054.73,2054.75,2000.01,2284.59,2373.68
2018-05-01,2418.65,2153.78,2153.6,2088.53,2389.72,2493.43
2018-06-01,2537.45,2265.25,2262.69,2199.69,2508.45,2615.63
2018-07-01,2627.37,2355.98,2349.38,2292.29,2606.91,2710.54
2018-08-01,2701.48,2421.94,2414.6,2361.61,2683.06,2782.76
2018-09-01,2931.88,2622.96,2620.84,2557.36,2901.79,3015.31
2018-10-01,3150.62,2819.87,2810.69,2738.89,3119.33,3242.01
2018-11-01,3276.02,2934.83,2922.84,2844.81,3248.55,3387.27
2018-12-01,3300.17,2942.7,2925.5,2852.75,3269.58,3393.87
2019-01-01,3423.03,3048.81,3033.1,2954.56,3392.7,3521.68
2019-02-01,3597.77,3198.47,3193.74,3111.35,3562.34,3694.36
2019-03-01,3767.01,3342.65,3338.64,3270.34,3726.12,3850.73
2019-04-01,3833.28,3389.35,3386.24,3316.91,3779.39,3906.06
2019-05-01,3911.58,3456.88,3455.83,3382.58,3852.08,3986.32
2019-06-01,4016.09,3571.23,3571.74,3490.67,3969.84,4122.05
2019-07-01,4133.91,3665.51,3667.14,3580.41,4079.86,4242.66
2019-08-01,4290.72,3810.58,3837.66,3734.47,4236.45,4440.51
2019-09-01,4502.88,4019.27,4054.18,3940.39,4452.3,4702.18
2019-10-01,4596.2,4107.17,4128.29,4016.75,4553.55,4794.87
2019-11-01,4886.34,4373.56,4402.7,4287.16,4851.67,5090.92
2019-12-01,5043.41,4489.88,4518.72,4397.95,5004.0,5226.02
2020-01-01,5332.94,4724.67,4750.37,4607.74,5276.45,5510.61
2020-02-01,5432.32,4842.61,4877.37,4715.23,5389.08,5661.46
2020-03-01,5615.94,5014.61,5050.68,4903.2,5586.23,5846.78
2020-04-01,5791.79,5128.78,5162.86,5032.98,5719.49,5972.49
2020-05-01,5785.01,5112.43,5149.71,5021.12,5705.43,5952.62
2020-06-01,5834.66,5159.46,5198.0,5074.06,5757.11,5997.44
