,index
1959-10-15,2.819732e-11
1959-11-15,2.878751e-11
1959-12-15,2.9617579999999996e-11
1960-01-15,3.042914e-11
1960-02-15,3.067992e-11
1960-03-15,3.0899170000000004e-11
1960-04-15,3.086793e-11
1960-05-15,3.0805309999999995e-11
1960-06-15,3.064867e-11
1960-07-15,3.093055e-11
1960-08-15,3.1087320000000003e-11
1960-09-15,3.11187e-11
1960-10-15,3.1369340000000004e-11
1960-11-15,3.215277e-11
1960-12-15,3.509861e-11
1961-01-15,3.2967579999999996e-11
1961-02-15,3.3374979999999996e-11
1961-03-15,3.375115e-11
1961-04-15,3.4503190000000003e-11
1961-05-15,3.475383e-11
1961-06-15,3.5223859999999994e-11
1961-07-15,3.575665e-11
1961-08-15,3.603867e-11
1961-09-15,3.6414829999999997e-11
1961-10-15,3.644607e-11
1961-11-15,3.7605659999999995e-11
1961-12-15,4.0864759999999996e-11
1962-01-15,3.9235140000000004e-11
1962-02-15,3.979932e-11
1962-03-15,4.0425979999999996e-11
1962-04-15,4.17422e-11
1962-05-15,4.31838e-11
1962-06-15,4.3810459999999996e-11
1962-07-15,4.578486e-11
1962-08-15,4.638028e-11
1962-09-15,4.809542e-11
1962-10-15,4.891872e-11
1962-11-15,4.8667940000000005e-11
1962-12-15,5.340003e-11
1963-01-15,5.120638e-11
1963-02-15,5.16764e-11
1963-03-15,5.412069e-11
1963-04-15,5.496689e-11
1963-05-15,5.496689e-11
1963-06-15,5.5593680000000003e-11
1963-07-15,5.6439730000000007e-11
1963-08-15,5.669051e-11
1963-09-15,5.756794e-11
1963-10-15,5.93542e-11
1963-11-15,6.085841999999999e-11
1963-12-15,6.612331e-11
1964-01-15,6.580977e-11
1964-02-15,6.530836e-11
1964-03-15,6.512035e-11
1964-04-15,6.76274e-11
1964-05-15,6.772155e-11
1964-06-15,6.86616e-11
1964-07-15,6.891238e-11
1964-08-15,6.85676e-11
1964-09-15,6.931979000000001e-11
1964-10-15,7.204609e-11
1964-11-15,7.28609e-11
1964-12-15,7.80944e-11
1965-01-15,7.521118e-11
1965-02-15,7.884645e-11
1965-03-15,8.075808e-11
1965-04-15,8.160428000000001e-11
1965-05-15,8.335915e-11
1965-06-15,8.671239e-11
1965-07-15,9.050428e-11
1965-08-15,9.250991999999999e-11
1965-09-15,9.388877e-11
1965-10-15,9.630181e-11
1965-11-15,9.978031e-11
1965-12-15,1.0792812e-10
1966-01-15,1.0548383999999999e-10
1966-02-15,1.0780288e-10
1966-03-15,1.1015316e-10
1966-04-15,1.1244096999999999e-10
1966-05-15,1.1360041e-10
1966-06-15,1.1457185e-10
1966-07-15,1.1638948000000001e-10
1966-08-15,1.1773695e-10
1966-09-15,1.1952333999999998e-10
1966-10-15,1.2334661000000001e-10
1966-11-15,1.2622968e-10
1966-12-15,1.4023766999999998e-10
1967-01-15,1.3365628e-10
1967-02-15,1.3650896000000002e-10
