,index
2002-12-15,62.28981399536133
2002-12-16,62.32517486074174
2002-12-17,62.359945589997984
2002-12-18,62.394126183130055
2002-12-19,62.427716640137945
2002-12-20,62.46071696102167
2002-12-21,62.493127145781216
2002-12-22,62.5249471944166
2002-12-23,62.55617710692781
2002-12-24,62.586816883314846
2002-12-25,62.6168665235777
2002-12-26,62.6463260277164
2002-12-27,62.67519539573092
2002-12-28,62.70347462762126
2002-12-29,62.731163723387425
2002-12-30,62.75826268302944
2002-12-31,62.78477150654726
2003-01-01,62.81069019394093
2003-01-02,62.836018745210424
2003-01-03,62.860757160355725
2003-01-04,62.88490543937686
2003-01-05,62.90846358227384
2003-01-06,62.93143158904663
2003-01-07,62.953809459695265
2003-01-08,62.975597194219716
2003-01-09,62.996794792619994
2003-01-10,63.0174022548961
2003-01-11,63.037419581048034
2003-01-12,63.056846771075804
2003-01-13,63.0756838249794
2003-01-14,63.09393074275882
2003-01-15,63.11158752441407
2003-01-16,63.128654169945136
2003-01-17,63.145130679352036
2003-01-18,63.161017052634776
2003-01-19,63.176313289793335
2003-01-20,63.19101939082772
2003-01-21,63.205135355737944
2003-01-22,63.21866118452398
2003-01-23,63.231596877185865
2003-01-24,63.24394243372355
2003-01-25,63.25569785413708
2003-01-26,63.26686313842643
2003-01-27,63.27743828659162
2003-01-28,63.28742329863263
2003-01-29,63.29681817454946
2003-01-30,63.30562291434212
2003-01-31,63.31394425141023
2003-02-01,63.32242258615137
2003-02-02,63.33116465196519
2003-02-03,63.340170448851644
2003-02-04,63.349439976810764
2003-02-05,63.358973235842534
2003-02-06,63.368770225946946
2003-02-07,63.37883094712403
2003-02-08,63.38915539937377
2003-02-09,63.39974358269614
2003-02-10,63.4105954970912
2003-02-11,63.4217111425589
2003-02-12,63.43309051909925
2003-02-13,63.44473362671228
2003-02-14,63.456640465397925
2003-02-15,63.46881103515625
2003-02-16,63.481245335987225
2003-02-17,63.49394336789086
2003-02-18,63.506905130867146
2003-02-19,63.5201306249161
2003-02-20,63.53361985003768
2003-02-21,63.54737280623193
2003-02-22,63.56138949349884
2003-02-23,63.5756699118384
2003-02-24,63.59021406125062
2003-02-25,63.60502194173547
2003-02-26,63.62009355329301
2003-02-27,63.635428895923184
2003-02-28,63.65102796962603
2003-03-01,63.66689077440152
2003-03-02,63.68262267608228
2003-03-03,63.69782904050094
2003-03-04,63.712509867657474
2003-03-05,63.7266651575519
2003-03-06,63.740294910184225
2003-03-07,63.75339912555443
2003-03-08,63.76597780366252
2003-03-09,63.778030944508515
2003-03-10,63.78955854809238
2003-03-11,63.80056061441416
2003-03-12,63.8110371434738
2003-03-13,63.82098813527133
2003-03-14,63.83041358980676
2003-03-15,63.83931350708008
2003-03-16,63.84768788709128
2003-03-17,63.85553672984038
2003-03-18,63.86286003532735
2003-03-19,63.86965780355223
2003-03-20,63.87593003451498
2003-03-21,63.88167672821562
2003-03-22,63.88689788465419
2003-03-23,63.891593503830606
2003-03-24,63.895763585744916
2003-03-25,63.89940813039712
2003-03-26,63.90252713778721
2003-03-27,63.905120607915194
2003-03-28,63.90718854078106
2003-03-29,63.90873093638482
2003-03-30,63.90974779472646
2003-03-31,63.910259968810635
2003-04-01,63.91039257666512
2003-04-02,63.91016647129456
2003-04-03,63.90958165269897
2003-04-04,63.90863812087831
2003-04-05,63.90733587583261
2003-04-06,63.90567491756185
2003-04-07,63.90365524606607
2003-04-08,63.901276861345224
2003-04-09,63.89853976339935
2003-04-10,63.895443952228405
2003-04-11,63.89198942783243
2003-04-12,63.888176190211404
2003-04-13,63.88400423936534
2003-04-14,63.87947357529422
2003-04-15,63.874584197998054
2003-04-16,63.86933610747684
2003-04-17,63.86372930373057
2003-04-18,63.85776378675928
2003-04-19,63.85143955656292
2003-04-20,63.84475661314152
2003-04-21,63.83771495649508
2003-04-22,63.83031458662357
2003-04-23,63.82255550352704
2003-04-24,63.81443770720546
2003-04-25,63.80596119765882
2003-04-26,63.79712597488714
2003-04-27,63.78793203889042
2003-04-28,63.778379389668636
2003-04-29,63.768468027221815
2003-04-30,63.75819795154996
2003-05-01,63.747873620920295
2003-05-02,63.73779949360012
2003-05-03,63.727975569589404
2003-05-04,63.718401848888156
2003-05-05,63.70907833149638
2003-05-06,63.7000050174141
2003-05-07,63.69118190664127
2003-05-08,63.6826089991779
2003-05-09,63.67428629502402
2003-05-10,63.666213794179605
2003-05-11,63.658391496644654
2003-05-12,63.65081940241919
2003-05-13,63.64349751150318
2003-05-14,63.63642582389665
2003-05-15,63.6296043395996
2003-05-16,63.623033058612
2003-05-17,63.616711980933886
2003-05-18,63.61064110656524
2003-05-19,63.60482043550606
2003-05-20,63.59924996775635
2003-05-21,63.59392970331613
2003-05-22,63.58885964218536
2003-05-23,63.584039784364066
2003-05-24,63.57947012985225
2003-05-25,63.57515067864989
2003-05-26,63.57108143075702
2003-05-27,63.56726238617362
2003-05-28,63.56369354489968
2003-05-29,63.56037490693521
2003-05-30,63.55730647228022
2003-05-31,63.55452242735279
2003-06-01,63.552227890661456
2003-06-02,63.55045704862433
2003-06-03,63.54920990124141
2003-06-04,63.548486448512676
2003-06-05,63.54828669043815
2003-06-06,63.548610627017815
2003-06-07,63.5494582582517
2003-06-08,63.55082958413977
2003-06-09,63.552724604682034
2003-06-10,63.555143319878496
2003-06-11,63.558085729729164
2003-06-12,63.56155183423404
2003-06-13,63.565541633393096
2003-06-14,63.57005512720636
