date,index,mom,yoy,,,,,,
1943m1,0.00000000000092847,,,,,,,,
1943m2,0.00000000000092309,-579,,,,,,,
1943m3,0.00000000000093765,1577,,,,,,,
1943m4,0.00000000000094387,663,,,,,,,
1943m5,0.00000000000093567,-869,,,,,,,
1943m6,0.00000000000093666,106,,,,,,,
1943m7,0.00000000000088379,-5644,,,,,,,
1943m8,0.00000000000089298,1040,,,,,,,
1943m9,0.00000000000088478,-918,,,,,,,
1943m10,0.00000000000089397,1039,,,,,,,
1943m11,0.00000000000089397,0,,,,,,,
1943m12,0.00000000000089115,-316,,,,,,,
1944m1,0.00000000000089737,698,-3350,,,,,,
1944m2,0.00000000000089920,205,-2588,,,,,,
1944m3,0.00000000000090500,645,-3483,,,,,,
1944m4,0.00000000000089482,-1125,-5197,,,,,,
1944m5,0.00000000000089115,-411,-4759,,,,,,
1944m6,0.00000000000090740,1824,-3124,,,,,,
1944m7,0.00000000000090655,-93,2575,,,,,,
1944m8,0.00000000000091942,1419,2960,,,,,,
1944m9,0.00000000000091758,-200,3707,,,,,,
1944m10,0.00000000000092380,678,3336,,,,,,
1944m11,0.00000000000092380,0,3336,,,,,,
1944m12,0.00000000000092564,199,3871,,,,,,
1945m1,0.00000000000099773,7789,11185,,,,,,
1945m2,0.00000000000101682,1913,13080,,,,,,
1945m3,0.00000000000109259,7452,20728,,,,,,
1945m4,0.00000000000109358,91,22212,,,,,,
1945m5,0.00000000000109739,349,23144,,,,,,
1945m6,0.00000000000109796,52,21000,,,,,,
1945m7,0.00000000000111082,1172,22532,,,,,,
1945m8,0.00000000000110079,-904,19726,,,,,,
1945m9,0.00000000000110715,578,20659,,,,,,
1945m10,0.00000000000110799,77,19939,,,,,,
1945m11,0.00000000000110997,179,20153,,,,,,
1945m12,0.00000000000113443,2203,22557,,,,,,
1946m1,0.00000000000121402,7016,21678,,,,,,
1946m2,0.00000000000121585,151,19575,,,,,,
1946m3,0.00000000000125148,2930,14543,,,,,,
1946m4,0.00000000000127311,1728,16417,,,,,,
1946m5,0.00000000000126971,-266,15703,,,,,,
1946m6,0.00000000000129134,1703,17613,,,,,,
1946m7,0.00000000000129417,219,16505,,,,,,
1946m8,0.00000000000128512,-699,16746,,,,,,
1946m9,0.00000000000128696,143,16241,,,,,,
1946m10,0.00000000000131877,2471,19023,,,,,,
1946m11,0.00000000000132442,429,19320,,,,,,
1946m12,0.00000000000134704,1708,18741,,,,,,
1947m1,0.00000000000133545,-861,10002,,,,,,
1947m2,0.00000000000134449,677,10580,,,,,,
1947m3,0.00000000000142662,6109,13995,,,,,,
1947m4,0.00000000000142747,59,12125,,,,,,
1947m5,0.00000000000142903,109,12547,,,,,,
1947m6,0.00000000000149575,4669,15829,,,,,,
1947m7,0.00000000000147935,-1096,14309,,,,,,
1947m8,0.00000000000149292,917,16170,,,,,,
1947m9,0.00000000000149476,123,16147,,,,,,
1947m10,0.00000000000148656,-549,12724,,,,,,
1947m11,0.00000000000150042,932,13288,,,,,,
1947m12,0.00000000000154791,3166,14912,,,,,,
1948m1,0.00000000000152303,-1607,14047,,,,,,
1948m2,0.00000000000151865,-288,12953,,,,,,
1948m3,0.00000000000154608,1806,8373,,,,,,
1948m4,0.00000000000155512,585,8942,,,,,,
1948m5,0.00000000000159357,2472,11514,,,,,,
1948m6,0.00000000000163909,2856,9583,,,,,,
1948m7,0.00000000000163542,-224,10549,,,,,,
1948m8,0.00000000000166906,2057,11798,,,,,,
1948m9,0.00000000000173748,4099,16238,,,,,,
1948m10,0.00000000000174285,309,17240,,,,,,
1948m11,0.00000000000174667,219,16412,,,,,,
1948m12,0.00000000000183968,5325,18849,,,,,,
1949m1,0.00000000000184972,546,21450,,,,,,
1949m2,0.00000000000184506,-252,21493,,,,,,
1949m3,0.00000000000197087,6819,27476,,,,,,
1949m4,0.00000000000206671,4863,32897,,,,,,
1949m5,0.00000000000212679,2907,33460,,,,,,
1949m6,0.00000000000215167,1170,31272,,,,,,
1949m7,0.00000000000219153,1853,34005,,,,,,
1949m8,0.00000000000222899,1709,33548,,,,,,
1949m9,0.00000000000226391,1566,30299,,,,,,
1949m10,0.00000000000232583,2735,33450,,,,,,
1949m11,0.00000000000240061,3215,37439,,,,,,
1949m12,0.00000000000245885,2426,33656,,,,,,
1950m1,0.00000000000241517,-1776,30569,,,,,,
1950m2,0.00000000000247807,2605,34309,,,,,,
1950m3,0.00000000000247892,34,25778,,,,,,
1950m4,0.00000000000253278,2173,22551,,,,,,
1950m5,0.00000000000265322,4755,24752,,,,,,
1950m6,0.00000000000272899,2856,26831,,,,,,
1950m7,0.00000000000272984,31,24563,,,,,,
1950m8,0.00000000000273521,197,22711,,,,,,
1950m9,0.00000000000284364,3964,25607,,,,,,
1950m10,0.00000000000295150,3793,26901,,,,,,
1950m11,0.00000000000294499,-220,22677,,,,,,
1950m12,0.00000000000300253,1954,22111,,,,,,
1951m1,0.00000000000297327,-975,23108,,,,,,
1951m2,0.00000000000306091,2948,23520,,,,,,
1951m3,0.00000000000307010,300,23848,,,,,,
1951m4,0.00000000000334745,9034,32165,,,,,,
1951m5,0.00000000000359710,7458,35575,,,,,,
1951m6,0.00000000000371655,3321,36188,,,,,,
1951m7,0.00000000000374482,761,37181,,,,,,
1951m8,0.00000000000409172,9264,49594,,,,,,
1951m9,0.00000000000401397,-1900,41156,,,,,,
