Q,index
2003-02-15,63.47323735555013
2003-05-15,63.693093617757164
2003-08-15,63.876224517822266
2003-11-15,64.42622375488281
2004-02-15,65.01354217529297
2004-05-15,66.29812622070312
2004-08-15,67.31077067057292
2004-11-15,68.1278076171875
2005-02-15,70.32495371500652
2005-05-15,72.1236343383789
2005-08-15,73.93684895833333
2005-11-15,76.08592987060547
2006-02-15,78.4552739461263
2006-05-15,80.33621215820312
2006-08-15,81.76780954996745
2006-11-15,83.78103383382161
2007-02-15,86.14226786295573
2007-05-15,90.93766021728516
2007-08-15,98.31331888834636
2007-11-15,102.33519999186198
2008-02-15,107.12366739908855
2008-05-15,113.81199900309245
2008-08-15,121.36800130208333
2008-11-15,126.60633087158203
2009-02-15,128.44099934895834
2009-05-15,133.49266560872397
2009-08-15,140.34833272298178
2009-11-15,146.625
2010-02-15,153.3470001220703
2010-05-15,164.90666707356772
2010-08-15,176.26199849446616
2010-11-15,184.45899963378906
2011-02-15,193.41133117675778
2011-05-15,206.04299926757812
2011-08-15,219.05799865722656
2011-11-15,228.70233154296875
2012-02-15,241.15933227539062
2012-05-15,259.1663360595703
2012-08-15,277.14966837565106
2012-11-15,288.8766682942708
2013-02-15,298.16599527994794
2013-05-15,308.79966227213544
2013-08-15,331.10300699869794
2013-11-15,351.37900797526044
2014-02-15,401.6266682942708
2014-05-15,432.90565999348956
2014-08-15,460.75767008463544
2014-11-15,491.38800048828125
2015-02-15,518.4159952799479
2015-05-15,548.6230061848959
2015-08-15,583.6739908854166
2015-11-15,620.5853271484375
2016-02-15,696.5503336588541
2016-05-15,750.6743164062499
2016-08-15,790.7540079752604
2016-11-15,832.9119873046875
2017-02-15,869.5750141418863
2017-05-15,925.2117828026652
2017-08-15,968.1977771087592
2017-11-15,1019.5855095854731
2018-02-15,1089.4272443207567
2018-05-15,1175.9635558696602
2018-08-15,1311.3689492821304
2018-11-15,1502.3703438399116
2019-02-15,1653.9249787392307
2019-05-15,1837.7711158732975
2019-08-15,2021.0967691112553
2019-11-15,2286.1252702491606
2020-02-15,2488.067716578001
2020-05-15,2644.3229018566685
2020-08-15,2825.482850642789
2020-11-15,3117.767507396054
2021-02-15,3499.3950119856654
2021-05-15,3952.130807022513
2021-08-15,4438.774510250588
2021-11-15,4888.256880153951
